ID,child_mean_cum_coh_sif,child_max_cum_coh_sif,child_min_cum_coh_sif,child_mean_cum_coh_bert,child_max_cum_coh_bert,child_min_cum_coh_bert,child_mean_cum_coh_elmo,child_max_cum_coh_elmo,child_min_cum_coh_elmo,chair_mean_cum_coh_sif,chair_max_cum_coh_sif,chair_min_cum_coh_sif,chair_mean_cum_coh_bert,chair_max_cum_coh_bert,chair_min_cum_coh_bert,chair_mean_cum_coh_elmo,chair_max_cum_coh_elmo,chair_min_cum_coh_elmo,gift_mean_cum_coh_sif,gift_max_cum_coh_sif,gift_min_cum_coh_sif,gift_mean_cum_coh_bert,gift_max_cum_coh_bert,gift_min_cum_coh_bert,gift_mean_cum_coh_elmo,gift_max_cum_coh_elmo,gift_min_cum_coh_elmo,suit_mean_cum_coh_sif,suit_max_cum_coh_sif,suit_min_cum_coh_sif,suit_mean_cum_coh_bert,suit_max_cum_coh_bert,suit_min_cum_coh_bert,suit_mean_cum_coh_elmo,suit_max_cum_coh_elmo,suit_min_cum_coh_elmo
H21,-0.13568165114436562,0.2667765224089847,-0.26450166292817745,0.7989732623100281,0.8543350696563721,0.6569221615791321,0.4085502326488495,0.5493601560592651,0.25329864025115967,-0.1360954391250349,0.3486027793855615,-0.33998560337569356,0.7139946222305298,0.7675230503082275,0.5806081295013428,0.27371740341186523,0.4402574300765991,0.09068790823221207,-0.10463439333970552,0.24854573214720482,-0.21564085961027696,0.7561845183372498,0.8473522663116455,0.7045342922210693,0.3362780213356018,0.5251190066337585,0.21344822645187378,-0.18978796765340555,0.2680219779638246,-0.44994261284566667,0.730902373790741,0.8079939484596252,0.6582105159759521,0.271194189786911,0.4965367019176483,0.154694601893425
S01,0.048858875294155404,0.3990990583223072,-0.25574750532022794,0.7166926860809326,0.7514539957046509,0.6638081073760986,0.36581137776374817,0.44857335090637207,0.2794455885887146,-0.15099629055443547,0.05761149098882447,-0.35693310890061153,0.7444545030593872,0.8712108731269836,0.6002715826034546,0.2690930962562561,0.38290706276893616,0.14852797985076904,-0.021331665439634724,0.06737560469991102,-0.08807119228059998,0.7278031706809998,0.8326796889305115,0.6460140943527222,0.36382272839546204,0.4142681956291199,0.31195390224456787,-0.1758601879287188,-0.006948919421097199,-0.3411969341840242,0.7598894238471985,0.838816225528717,0.6352111101150513,0.257860392332077,0.34487032890319824,0.17100562155246735
S02,-0.1610533571601664,-0.03764714269608674,-0.3030053576991283,0.7341597080230713,0.8387165665626526,0.6461432576179504,0.24659810960292816,0.3516503572463989,0.17114436626434326,-0.000422203042398486,0.6469620127392233,-0.2946962946688614,0.7482125163078308,0.8326366543769836,0.6870720982551575,0.1771688014268875,0.46460503339767456,0.07113774120807648,0.07847925805561062,0.11454720503318719,0.042411311078034045,0.8627926111221313,0.8696778416633606,0.8559074401855469,0.5582508444786072,0.5929575562477112,0.5235441327095032,0.020234569311394245,0.9874971973233486,-0.1701093986803839,0.7246530055999756,0.8019488453865051,0.6131995916366577,0.41291457414627075,0.5446228384971619,0.27706101536750793
S03,-0.14619134175368415,0.2426161746335382,-0.3589046365575912,0.6937015056610107,0.8347630500793457,0.6134175062179565,0.30546239018440247,0.44192424416542053,0.10799731314182281,,,,,,,,,,,,,,,,,,,,,,,,,,,
S05,-0.06950426541044363,0.2540243850035452,-0.2685862718874655,0.6789376139640808,0.7357621192932129,0.571155309677124,0.3780379593372345,0.6318647265434265,0.2774996757507324,,,,,,,,,,,,,,,,,,,,,,,,,,,
S06,-0.1864955342097348,0.1597119968670028,-0.3110897628323626,0.7493682503700256,0.8340651988983154,0.6437509059906006,0.20179452002048492,0.30050423741340637,0.12671935558319092,-0.11464493140211991,0.07974858909411432,-0.3437398357674307,0.6976342797279358,0.8256183862686157,0.5886753797531128,0.29269182682037354,0.396572083234787,0.17531587183475494,-0.08088785108066555,0.01591159063839828,-0.312512823787883,0.7548449635505676,0.8274939060211182,0.7195712924003601,0.4695553183555603,0.7037708759307861,0.3916073441505432,-0.09469335662341558,0.2106543763192905,-0.30490836684956946,0.755768358707428,0.816669225692749,0.6171649694442749,0.2501746714115143,0.3236435055732727,0.17612549662590027
S07,-0.09554130841196125,0.05905763842894888,-0.22202309234680315,0.672487735748291,0.7696838974952698,0.57306969165802,0.3186146318912506,0.4115442931652069,0.23212479054927826,-0.1376027944712228,0.5460204799133589,-0.39079013873011964,0.6637053489685059,0.8031982779502869,0.5803654193878174,0.20265968143939972,0.5585583448410034,0.06100694090127945,-0.12791375049814566,0.04600096169714141,-0.24242035348107183,0.6823715567588806,0.7226956486701965,0.6387684941291809,0.36058664321899414,0.45603740215301514,0.27813422679901123,-0.1230171841667756,0.09697777639324125,-0.3029910322074948,0.6998290419578552,0.7670817971229553,0.6499150395393372,0.30766937136650085,0.3947412669658661,0.19467955827713013
S08,0.06541516298662747,0.3477093037040017,-0.1698611039002346,0.7894607782363892,0.8278477787971497,0.7180554270744324,0.32376596331596375,0.5344682931900024,0.13365386426448822,,,,,,,,,,,,,,,,,,,,,,,,,,,
S09,-0.15261257829160865,0.9677788169921263,-0.4964553217805717,0.7474610805511475,0.818929135799408,0.6726289391517639,0.28354015946388245,0.6165836453437805,0.1715080887079239,,,,,,,,,,,,,,,,,,,-0.08068369154724005,0.14252869183458017,-0.21173284332529896,0.7297224402427673,0.8070012927055359,0.6560180187225342,0.38625428080558777,0.5336558818817139,0.2858939468860626
S10,-0.0013733294052872523,0.4490656475268862,-0.28602325768408243,0.6995866894721985,0.7372468709945679,0.651943564414978,0.36350521445274353,0.4408121705055237,0.30899566411972046,-0.03855782263456215,0.36537651213819544,-0.2986414897004222,0.8085975646972656,0.8561248779296875,0.7832867503166199,0.29025810956954956,0.47494810819625854,0.1770700365304947,-0.011901646318747038,0.22482297012243416,-0.16631471841096349,0.7422742247581482,0.7983155846595764,0.6337344646453857,0.47431480884552,0.5373030304908752,0.41297686100006104,-0.07593247081923933,0.01032986270571423,-0.14554213925932136,0.7688055038452148,0.8286523222923279,0.6956535577774048,0.305124968290329,0.3463396430015564,0.2759794592857361
